Price,Rent,Size,Rooms,Type,City,Description,Link
205000.0,0,30.0,1.0,Buy,bydgoszcz,"Witam, mam do zaoferowania kawalerkę, w kamienicy wybudowanej około 1900 roku , na drugim (przedostatnim) piętrze, na osiedlu Okole. Do lokalu przynależy piwnica 1m2.
Kuchnia i łazienka w pełni wyposażone, w pokoju jest łóżko, stół  i krzesła. Mieszkanie przeszło generalny remont w 2015 roku, w tej chwili w stanie do odświeżenia. 

Na ten moment stan kawalerki oceniam na bardzo dobry, występują naturalne ślady użytkowania, po lokatorce zostały jakieś otwory w ścianach, sąsiedzi z góry zafundowali kilka zacieków na suficie. 

Ogrzewanie z pieca gazowego, roczny około 1600 zł/rok, prąd około 600 zł/rok. 
Opłaty do spółdzielni (w tym śmieci i woda) 1400 zł/rok i fundusz remontowy 2270 zł/rok.",https://olx.pl/d/oferta/kawalerka-w-odnowionej-kamienicy-CID3-IDVGqbE.html
1300.0,450,38.0,2.0,Rent,bydgoszcz,"Mam do wynajęcia mieszkanie 2-pokojowe z balkonem na Bartodziejach.
Mieszkanie jest całkowicie umeblowane.
Bardzo jasne, ciche i przytulne.
Z pięknym widokiem na panoramę miasta.
Usytuowane przy przystanku autobusowym linii: 59,60,64,67,69 i 89.
W pobliżu znajdują się liczne sklepy, markety, targ, zakłady usługowe, apteki, ośrodki zdrowia itp.
Do zamieszkania od zaraz.
Opłaty miesięczne: czynsz najmu 1400,00 + czynsz administracyjny 450,00 + opłaty licznikowe i kaucja.
W razie pytań proszę o kontakt telefoniczny (na smsy nie odpisuję).
Zapraszam zainteresowane osoby.",https://olx.pl/d/oferta/mieszkanie-2-pokojowe-na-bartodziejach-CID3-IDVe3Cy.html
2100.0,1,65.0,3.0,Rent,bydgoszcz,"Witam. Wynajmę mieszkanie na Bartodziejach. 3 pokoje (65m kw) na piętrze domu jednorodzinnego, niezależne. Największy pokój jest przechodni. Preferowani studenci, najem okazjonalny. Całkowity koszt wynajmu przy 3 os. to 2100zl +kaucja zwrotna 1000zl. Zapraszam",https://olx.pl/d/oferta/wynajme-3-pok-calosc-2-100zl-CID3-IDV3CfJ.html
599000.0,0,100.0,,Buy,bydgoszcz,"Sprzedam dom jednorodzinny w Bożenkowie (12 km od Bydgoszczy).

Dom położony jest 50m od Zalewu Tryszczyńskiego, w spokojnym i urokliwym miejscu niedaleko lasu. 

Powierzchnia działki- 368m2
Powierzchnia domu- 100m2 plus garaż 20m2. 

*dół: salon z aneksem kuchennym, jadalnia, łazienka, pomieszczenie gospodarcze, taras.

*góra: pokój przejściowy, 2 sypialnie, łazienka, balkon.

Oferta bezpośrednio od właściciela. Zapraszam do kontaktu.",https://olx.pl/d/oferta/dom-w-bozenkowie-12km-od-bydgoszczy-CID3-IDXBLXW.html
375000.0,0,61.0,3.0,Buy,bydgoszcz,"Słoneczne 3pokojowe mieszkanie o powierzchni 61 m2 zlokalizowane na 7 piętrze na osiedlu Kasztelanka w Fordonie.
W skład mieszkania wchodzi: salon, 2 pokoje, przedpokój kuchnia ,łazienka i WC 
balkon 
Do mieszkania przynależy piwnica i dodatkowe pomieszczenie na półpiętrze.
Budynkiem zarządza Wspólnota Mieszkaniowa.
Dużym atutem mieszkania jest lokalizacja : sklepy ,punkty usługowe, szkoła, przedszkole, przystanki autobusowe i tramwajowe.

OFERTA GODNA POLECENIA !

OFERTA BEZ POŚREDNIKÓW!
stan do zamieszkania
umeblowanie: do uzgodnienia
domofon: Tak",https://olx.pl/d/oferta/mieszkanie-bydgoszcz-fordon-CID3-IDXueGy.html
2500.0,1,96.0,3.0,Rent,bydgoszcz,"Wynajmę mieszkanie w centrum Bydgoszczy ulica Świętej Trójcy. Mieszkanie składa się z 3 pokoi: kantorka, kuchni, łazienki oraz korytarza. Mieszkanie po remoncie wysoki standard. Najem okazjonalny, kaucja w wysokości czynszu. Rachunki według liczników ( gaz, woda, prąd oraz śmieci). Czynsz w wysokości 2500 zł bez czynszu dodatkowego
Gorąco polecam",https://olx.pl/d/oferta/piekne-mieszkanie-w-centrum-CID3-IDXxc33.html
800.0,0,,,Rent,bydgoszcz,"Do wynajęcia dwuosobowy pokój w trzypokojowym mieszkaniu w śródmieściu (dwa jednoosobowe pokoje są już zajęte) w pełni umeblowane i wyposażone, bezprzewodowy szybki internet, blisko Starówki (pieszo: 2 min. do ronda Bernardyńskiego, 5 min. do Starego Rynku, 10 min. do Ronda Jagiellonów), w pobliżu przystanki tramwajowe i autobusowe prawie wszystkich linii oraz liczne centra handlowe i sklepy różnych branż. Koszt wynajmu pokoju 800zł + opłaty za media i wywóz śmieci.  Mile widziane osoby studiujące lub młode pracujące lubiące porządek:) Preferowane dziewczyny lub para.",https://olx.pl/d/oferta/dwuosobowy-pokoj-w-mieszkaniu-studenckim-w-centrum-bydgoszczy-wynajme-CID3-IDKHjRs.html
499000.0,0,66.0,3.0,Buy,bydgoszcz,"BLACK FRIDAY!
Sprzedam Komfortowe Mieszkanie 66m2.
W Mieszkaniu przeprwadzony był kompleksowy remont,umeblowane wszystko nowe.
Salon,dwie sypialnie,kuchnia,garderoba,lazienka.
Mieszkanie znajduje się na pierwszym piętrze  blok z 2001 roku Fordon Ul.Swobodna 16",https://olx.pl/d/oferta/komfortowe-mieszkanie-m-4-black-friday-CID3-IDVT3b2.html
162000.0,0,50.0,,Buy,bydgoszcz,"Sprzedam garaż w centrum Bydgoszczy ulica Gdańska 71.
Własność.
Zlokalizowany Na podwórku przy kamienicy wjazd od Ul. Gdańskiej.

Garaz jest po generalnym remoncie, wyposażony w  nowe wysokiej klasy elektryczne bramy na pilota, kanalizacje, przyłącz wody - odcięty metr od garażu studnia przyłączeniowa. Licznik energii.
Kanał do napraw z oświetleniem. Licznik, nową elektrykę, nowe lampy. 
Gładź szpachlowa, pomalowane ściany podłoga, nowy sufit.
Wymalowana elewacja zewnętrzna.",https://olx.pl/d/oferta/garaz-podwojny-z-warsztatem-CID3-IDWNWpO.html
232000.0,0,1.0,,Buy,bydgoszcz,"Sprzedam działkę budowlaną w Bydgoszczy przy ulicy Kwietniowej na koncu  Nowego Fordonu polożoną na skraju Nadwislanskiego Parku Krajobrazowego. Działka nr  2/29 (1644m2), 
wymiary 2/29: 50,69m x 36,43 x 52,17 x 22,6 + ta droga dojazdowa (szerokość 5,30). Wymiary tej działki nie licząc drogi dojazdowej to 1497m2. Cena za metr to nawet nie 150zl i droga dojazdowa gratis. Działka leży w Bydgoszczy - Nowy Fordon.

Działka jest ostatnią działką na tym osiedlu i sprzedaje po bardzo okazyjnej cenie. 

Posiadam takze działke troszke nieregularną na wjezdzie na osiedle z ceną rozsądną pod rozwage… 1969m2 nr działki 2/45

Zapraszam",https://olx.pl/d/oferta/okazja-dzialka-bydgoszcz-fordon-ul-kwietniowa-CID3-IDXBFTx.html
